GR,log10(LLD),log10(MSFL),DT,RHOB,NPHI,PEF
8.09,2.0883,1.1767,73.44,2.35,0.19,11.65
6.66,2.114,1.1741,71.56,2.39,0.19,13.23
4.46,2.1623,1.2636,69.5,2.43,0.17,10.78
5.61,2.2216,1.6611,69,2.47,0.15,8.91
5.58,2.1428,1.3604,67.31,2.47,0.14,10.99
5.21,1.9331,1.2665,63.25,2.49,0.14,13.34
5.23,1.7195,1.5581,60.44,2.55,0.12,9.94
4.48,1.6898,1.192,57.31,2.58,0.1,9.2
5.92,1.77,1.5544,56.25,2.61,0.08,10.16
6.63,1.9821,1.871,54.5,2.61,0.06,9.81
5.59,2.4928,1.8544,51.38,2.69,0.01,8.09
10.01,2.2123,1.6938,53.13,2.69,0.01,8.41
14.36,1.7563,1.3916,56.13,2.66,0.02,8.08
17.25,1.6518,1.2443,57.69,2.64,0.06,7.5
37.53,1.5804,1.1931,58.5,2.66,0.04,6.54
26.88,1.6375,2.3395,54.94,2.69,0.06,7.84
33.09,1.2765,1.2749,60.88,2.68,0.06,6.64
40.13,1.2632,0.9894,61.31,2.64,0.09,5.74
33.13,1.5433,1.3662,59.81,2.65,0.11,8.5
27.09,2.2211,2.6061,51.31,2.67,0.03,6.95
30.59,2.1243,2.4682,51.56,2.66,0.02,8.02
34.16,2.0087,1.7861,52.69,2.66,0.03,8.01
30.45,2.1247,2.43,51,2.69,0.03,7.51
25.48,2.2278,2.6514,51.06,2.7,0.02,10
21.7,1.9243,1.5908,55.06,2.63,0.03,11.81
19.47,1.7879,1.3367,57.75,2.59,0.06,10.37
17.09,1.7518,1.3179,58.5,2.59,0.07,8.48
24.53,1.7373,1.5396,59.75,2.55,0.1,8.69
27.64,1.8454,1.5228,59.19,2.56,0.09,7.93
28.92,1.9103,1.6969,58,2.57,0.09,10.1
25.84,1.9082,1.4701,57.63,2.54,0.09,10.85
22.92,1.9272,1.7183,58.38,2.55,0.09,9.05
20.69,2.0043,1.4128,57.75,2.59,0.08,13.35
12.76,1.9983,2.0872,56.31,2.56,0.09,13.79
9.47,1.814,1.9481,57.44,2.55,0.1,9.81
12.07,1.5946,1.2622,59.56,2.54,0.1,10.9
8.23,1.5384,1.3786,60.25,2.53,0.11,11.63
10.05,1.7718,1.8949,54.5,2.6,0.06,10.52
10.47,1.9027,1.8802,52.63,2.66,0.03,7.87
11.98,1.8781,1.9227,52.63,2.66,0.04,8.56
12.73,1.8146,1.7257,54.31,2.65,0.04,9.53
10.9,1.645,1.3955,56.81,2.61,0.06,11.3
10.51,1.5701,1.3979,56.69,2.58,0.08,10.38
12.8,1.5701,1.4989,56.81,2.59,0.08,10.41
15.35,1.5189,1.3804,58.81,2.57,0.08,13.88
10.86,1.4273,1.4306,58.19,2.56,0.09,16.98
11.51,1.4667,1.3247,58.06,2.57,0.09,13.27
12.3,1.624,1.5371,56.13,2.61,0.07,13.31
23.16,1.813,2.0326,52.75,2.64,0.04,8.99
24.45,1.7256,1.2263,53.13,2.62,0.03,8.96
26.63,1.8078,1.9228,54.25,2.63,0.04,8.65
33.09,1.8205,2.0219,53,2.63,0.03,8.18
30.67,1.9717,2.5404,51.31,2.69,0.02,8.23
26.98,2.5339,3.2119,50.44,2.7,0.01,8.39
40.97,2.4023,2.9444,53,2.68,0.01,6.66
31.42,2.3166,2.5177,52.75,2.68,0.02,7.92
30.77,2.3539,2.1282,53.19,2.68,0.02,8.34
32.03,2.33,2.1906,52.44,2.68,0.02,8.47
34.25,2.3913,1.9947,53.06,2.68,0.02,8.25
43.28,2.3103,2.3148,53.19,2.68,0.02,7.07
47.31,2.3519,2.137,52.75,2.68,0.02,7.31
64.31,2.4176,2.436,52.5,2.7,0.02,7.48
77,2.3816,2.3328,53.13,2.69,0.02,7.8
69.25,2.3293,2.0712,53.25,2.69,0.02,8.95
66.19,2.2669,1.8623,52.25,2.69,0.02,9.11
63.81,2.3292,1.9764,51.31,2.68,0.02,8.23
45.5,2.5555,2.2465,52,2.69,0.01,7.98
47.13,2.4325,2.6484,52,2.7,0.01,7.71
46.19,2.2755,1.7791,51.19,2.68,0.01,8.21
40.34,2.4069,2.5352,49.81,2.7,0.01,7.71
39.56,2.3739,2.4378,53.31,2.7,0.01,7.71
31.94,2.2419,2.3511,53.88,2.68,0.02,8.01
26.94,2.1375,2.2144,55.56,2.68,0.02,7.05
33.75,1.8765,2.1652,58.06,2.66,0.05,6.11
35.78,1.8409,1.7935,58.25,2.66,0.05,6.35
40.66,1.8125,1.7956,56.69,2.66,0.06,5.74
35.88,1.8754,2.0327,57.5,2.67,0.06,6.78
53.03,1.7637,2.0033,60,2.68,0.05,7.21
63.97,1.609,1.4773,56.63,2.69,0.05,7.37
31.14,1.7121,2.4644,52.81,2.69,0.09,8.17
18.09,2.0307,2.2804,52.75,2.69,0.06,8.24
14.72,2.0077,2.0847,52.69,2.67,0.03,8.16
17.56,1.8951,2.1107,54.81,2.69,0.03,9.03
21.61,1.753,1.7919,55.25,2.67,0.03,9.05
27,1.7381,1.7313,53.63,2.63,0.05,9.5
24.11,1.895,1.8918,53.94,2.61,0.05,8.7
19.83,1.7134,2.373,58.63,2.64,0.03,8.42
11.78,1.38,1.6081,59.81,2.57,0.04,8.1
9.91,1.3103,1.2562,58.25,2.51,0.1,9.77
9.55,1.3533,1.433,55.75,2.55,0.1,10.38
10.59,1.7461,1.8276,51.94,2.6,0.06,10.44
11.27,1.9119,3.0473,50.75,2.6,0.04,11.27
12,2.0629,2.0804,50.06,2.64,0.02,10.23
13.56,2.1121,2.954,49.31,2.65,0.02,8.84
9.91,2.2762,3.0912,49.75,2.69,0.01,8.78
8.43,2.2398,3.26,48.44,2.69,0.01,9.33
46.63,1.6635,2.1316,53.56,2.7,0.06,4.34
48.66,1.6245,1.8288,58.44,2.68,0.06,4.41
28.25,2.0027,2.4351,55.25,2.57,0.07,4.95
19,2.1443,2.0625,59.63,2.56,0.09,4.97
19.27,2.0313,1.8355,62.19,2.52,0.12,4.79
20.56,1.9871,1.7633,61.75,2.5,0.12,5.04
19.56,2.0073,1.7724,60.69,2.54,0.11,5.16
29.78,2.0141,1.7834,60.69,2.5,0.09,4.52
31.45,2.1198,1.9819,56.94,2.51,0.07,5.04
27.59,2.0812,2.0186,58.5,2.57,0.12,4.96
26.16,1.9519,1.6712,58.56,2.47,0.06,4.71
28.34,2.1452,2.2351,54.38,2.54,0.03,5.07
28.88,2.2461,2.1625,54.63,2.61,0.07,4.88
28.88,1.9543,1.7384,59.44,2.53,0.07,5.08
30.33,2.1091,2.1509,55.63,2.58,0.04,5.19
44.44,2.2837,2.1676,53.75,2.61,0.04,5.04
43.97,2.3024,2.3085,54.31,2.65,0.08,4.91
35.81,2.1911,2.236,57,2.57,0.1,4.61
35.84,2.1671,2.0515,57.19,2.55,0.11,4.7
43.28,2.3253,2.2346,55.63,2.61,0.06,5.14
45.03,2.46,2.5763,53.69,2.6,0.06,5.38
48.03,2.3188,2.2362,56.25,2.6,0.06,5.02
52.63,2.3917,2.2899,54.69,2.58,0.05,5
54.44,2.4286,2.1224,54.44,2.58,0.04,5.11
49.59,2.4179,2.6619,53.56,2.61,0.04,5.09
36.53,2.2835,2.4108,52.19,2.64,0.01,4.64
39.25,2.3487,2.4515,51.63,2.68,0.01,5.02
35.59,2.3229,2.3681,51.13,2.67,0.01,5.27
33.34,2.2555,2.09,53.88,2.63,0.03,5.18
36.5,2.1706,2.3728,54.69,2.59,0.04,5.04
33.59,1.9832,2.0673,57.56,2.54,0.06,4.9
32.66,2.3781,2.6527,51.38,2.61,0.03,5.02
35.47,2.3121,2.3067,52.5,2.6,0.04,4.96
42.75,2.2552,2.4796,52.88,2.64,0.04,4.55
50.66,2.3706,2.5062,51.81,2.63,0.02,4.95
55.19,2.1568,1.9466,52.88,2.39,0.23,3.93
35.41,2.0855,1.6857,49.19,2.3,0.24,3.96
25.38,2.1443,2.0606,53.13,2.52,0.13,3.4
35.22,2.1245,2.054,52.81,2.67,0.01,4.7
67.56,1.7032,2.0021,57.63,2.58,0.08,4.64
37.25,2.4613,1.9282,62.88,2.5,0.14,4.63
28.75,2.377,2.1574,65.19,2.39,0.18,4.6
28.45,2.3035,1.6644,64.94,2.41,0.16,4.74
30.56,2.3595,2.0565,59.5,2.47,0.1,4.74
34.47,2.3625,2.076,54.5,2.57,0.03,4.77
35.28,2.2297,2.0019,50.81,2.66,0.01,4.94
33.75,2.2252,2.3239,50.75,2.68,0.01,5.13
44.25,2.3729,2.2336,49.25,2.69,0.01,4.89
33.63,2.6699,2.5705,49.31,2.7,0.01,5.4
30.69,2.6347,2.645,49.31,2.68,0.01,5.63
